node_id,title,voltage,lat,lng
7218,ARCHIDONA 400,400,37.120000463764,-4.4152854355845
6678,ARCOS DE LA FRONTERA 400,400,36.671460558482,-5.819938859834
6683,CABRA 400,400,37.457007281502,-4.4944798384836
12590,CAPARACENA 400,400,37.26786802166,-3.7261709619107
6685,CARMONA 400,400,37.55691840287,-5.7591094943323
7217,CARTAMA 400,400,36.750617868855,-4.605382532298
12819,GUILLENA 400,400,37.636044840533,-12.098751304828
12837,HUENEJA 400,400,37.21622346581,-2.9425180963388
13036,PALOS 400,400,37.184705561373,-12.882968276194
13181,RONDA 400,400,36.761236575294,-5.1274867061467
6728,TABERNAS 400,400,37.070880564929,-2.3123478469677
13332,LITORAL 400,400,36.978303067443,-1.9080669713052
13336,RODA DE ANDALUCIA 400,400,37.254712805986,-4.7769981082472
13333,PINAR DE REY 400,400,36.248298540621,-5.4115462422769
13330,GUADAME 400,400,38.048620837877,-4.1934112076732
13334,TAJO ENCANTADA 400,400,36.895071576296,-4.7457559842002
13337,CASTELLAR DE LA FRONTERA 400,400,36.286329410118,-5.423444683403
6733,ARAGON 400,400,41.217770756736,-0.28021021562162
12591,CARIÑENA 400,400,41.323528631862,-1.2279084263473
12762,ESCATRON 400,400,41.293900382882,-0.34067772471244
12781,FUENDETODOS 400,400,41.336870533914,-0.97686860653766
12935,MAGALLON 400,400,41.846865500616,-1.3812960767016
12972,MEZQUITA 400,400,40.723948109854,-0.84984879386729
13003,MUDEJAR 400,400,41.023175903321,-0.38272842232196
13005,MUNIESA 400,400,41.033104728552,-0.83961519134587
13048,PEÑAFLOR 400,400,41.721757863023,-0.74164679904411
13185,RUEDA DE JALON 400,400,41.649812218514,-1.2965587721434
7255,TERRER 400,400,41.320957870342,-1.7056895314573
13314,ALMENDRALES 400,400,41.554420722508,-0.84433111460861
6791,AGUAYO 400,400,43.119427225565,-4.0200349370389
6918,ALMAZAN 400,400,41.438156620049,-2.5035277493855
6920,APARECIDA 400,400,42.03367082285,-12.861802947861
6922,BUNIEL 400,400,42.322911396204,-3.8206164374683
12689,CERRATO 400,400,41.888782815186,-4.3817374201211
12704,CIUDAD RODRIGO 400,400,40.641939161101,-12.55067768671
12711,COMPOSTILLA 400,400,42.614026585435,-12.566237702735
12808,GRIJOTA 400,400,42.072376328246,-4.5565096140785
12828,HERRERA 400,400,42.594436017834,-4.3432807991398
12832,HINOJOSA 400,400,41.017204137669,-12.733412466908
12878,LA LORA 400,400,42.590933176382,-3.8597103411719
12903,LASTRAS 400,400,40.880487640659,-4.3398240324918
12930,LUENGOS 400,400,42.450204231479,-5.3717901361098
12958,MEDINACELI 400,400,41.106040122646,-2.374416072454
12982,MONTEARENAS 400,400,42.572977022205,-12.550126910827
13001,MUDARRA 400,400,41.789660715334,-4.9366149630464
13022,OLMEDO 400,400,41.320061189172,-4.7270653090305
13176,ROBLA 400,400,42.793998062302,-5.6336370690539
7211,SEGOVIA 400,400,40.939946109973,-4.1651705823157
7244,TABARA 400,400,41.759742365122,-5.8615051089445
12673,TORDESILLAS 400,400,41.506704904627,-5.013333330411
7239,VALDECARRETAS 400,400,41.449660227155,-5.3659428186935
6962,VELILLA 400,400,42.821915896414,-4.8582145164697
6963,VILECHA 400,400,42.552885132547,-5.574800967622
6967,VILLAMECA 400,400,42.631696683954,-12.041023162095
6971,VIRTUS 400,400,43.002276770487,-3.845238117072
13307,BARCINA 400,400,42.777208388564,-3.2153446725509
6853,BRAZATORTAS 400,400,38.652429980643,-4.2538638316872
6855,CAMPANARIO 400,400,38.88291826662,-1.2783134378123
12784,FUENTES DE LA ALCARRIA 400,400,40.747720982919,-2.9841582103173
12942,MANZANARES 400,400,39.044739902627,-3.3443515369052
12973,MINGLANILLA 400,400,39.524812389109,-1.5651661453601
13180,ROMICA 400,400,39.043972724429,-1.7994985054817
6876,TRILLO 400,400,40.702988655026,-2.6254512302913
6877,VILLANUEVA DE LOS ESCUDEROS 400,400,40.03010179112,-2.3230531031236
13325,LA PINILLA 400,400,38.764470085719,-1.6024152675489
13517,MANCHEGA 400,400,39.025829854428,-1.8961253068355
6803,CALDERS 400,400,41.767152279195,7.9351392110276
6804,CAN BARBA 400,400,41.551919193106,8.0570598499206
12793,GARRAF 400,400,41.255044061917,7.7191396471946
12868,LA ESPLUGA 400,400,41.405093841588,7.1241495699389
12938,MAIALS 400,400,41.388539416884,6.5052527219868
13057,PIEROLA 400,400,41.523076385706,7.8295785222327
13183,RUBI 400,400,41.473199693747,8.0096118960718
7214,SANTA LLOGAIA 400,400,42.230048802662,8.9467546193617
6842,VANDELLOS 400,400,40.976426465232,6.8788686532183
6800,ASCÓ 400,400,41.204315616384,6.5710048143603
13316,SALLENTE 400,400,42.506887919925,6.9915137116851
7320,BESCANO 400,400,41.972567948467,8.6961349935999
6977,ARAÑUELO 400,400,39.95038308824,-5.5899943737967
6979,BIENVENIDA 400,400,38.317273785268,-12.197892115492
6980,BROVALES 400,400,38.319984637262,-12.702724918656
6982,CAÑAVERAL 400,400,39.799362146689,-12.361075017427
6983,CARMONITA 400,400,39.094995227655,-12.36900807668
12684,CEDILLO 400,400,39.664242209679,-13.533234773269
13217,SAN SERVAN 400,400,38.806408399704,-12.51588116175
6999,VALDECABALLEROS 400,400,39.291526364976,-5.1825228332975
13323,J.M.ORIOL 400,400,39.724375327137,-12.877505249688
13319,ALMARAZ CN 400,400,39.807630689244,-5.6937784847938
12582,BEARIZ 400,400,42.46963497966,-14.27598833309
7004,BOIMENTE 400,400,43.589001630504,-13.553313411559
12929,LUDRIO 400,400,43.128660733725,-13.41639692569
13090,PUENTES G.R. 400,400,43.439475057323,-13.860666851003
7225,SILLEDA 400,400,42.746821978768,-14.251264855764
13305,TRIVES 400,400,42.3442778069,-13.281500438697
12680,XOVE 400,400,43.693287906813,-13.503960848967
13303,MESON D.V. 400,400,43.167450641861,-14.355964503985
7184,AMOREBIETA 400,400,43.235916850284,-2.7494350643449
12795,GATICA 400,400,43.349959245469,-2.8802517860781
12826,HERNANI 400,400,43.256299763293,-1.9754143118682
7202,ZIERBENA 400,400,43.358791889623,-3.0910294482475
7186,AZPEITIA 400,400,43.213070267738,-2.2523394880768
7256,ANCHUELO 400,400,40.464874822961,-3.2966944954531
12779,FUENCARRAL 400,400,40.519065094972,-3.6716869745628
12863,LA CEREAL 400,400,40.60044962798,-3.7230739291342
12913,LOECHES 400,400,40.387765146705,-3.4223267029702
12992,MORALEJA 400,400,40.260026311174,-3.8755278632283
12994,MORATA 400,400,40.255880087004,-3.4426559187319
13207,SAN FERNANDO 400,400,40.443955856273,-3.5081734198572
7228,TORREJON DE VELASCO 400,400,40.176829408259,-3.7450378145081
12678,VILLAVICIOSA 400,400,40.346739638766,-3.9061399658654
6881,AYORA 400,400,39.041322577525,-1.0075141192842
6884,BENEJAMA 400,400,38.718517432271,-0.72240992142127
12683,CATADAU 400,400,39.250790229238,-0.56122630559134
12706,COFRENTES 400,400,39.214112937996,-1.0546186076654
12801,GODELLETA 400,400,39.443186167809,-0.67173522718567
12888,LA PLANA 400,400,39.967142703365,-0.097017136861521
12996,MORELLA 400,400,40.611191986865,-0.19517789777956
12998,MORVEDRE 400,400,39.642227905153,-0.23628480487288
13170,REQUENA 400,400,39.459158702584,-0.98823601922447
13177,ROCAMORA 400,400,38.148729416916,-0.94656720049844
7227,SAX 400,400,38.56174420905,-0.86167140946811
6913,TORRENTE 400,400,39.422940026902,-0.45519181506643
13324,MUELA 400,400,39.243859445378,-0.93157295154828
13321,ELIANA 400,400,39.554873615177,-0.51082273851062
7158,ASOMADA 400,400,37.633022610396,-0.96077841731985
12589,CAMPOS 400,400,37.838495966691,-1.215398081431
7160,CARRIL 400,400,37.436939994991,-1.7184744507747
12745,EL PALMAR 400,400,37.940667685415,-1.1882425727853
12772,FAUSITA 400,400,37.564229339966,-0.95104814833173
13015,NUEVA ESCOMBRERAS 400,400,37.572600864644,-0.94151644026288
13050,PEÑARRUBIA 400,400,38.52185075517,-1.3334159713573
7169,TOTANA 400,400,37.765552411247,-1.4453634951918
12749,EL PALO 400,400,43.270236215217,-12.676727745586
12864,LADA 400,400,43.3053326053,-5.6980166353749
13010,NARCEA 400,400,43.291791311275,-12.395310687841
13053,PESOZ 400,400,43.243057466552,-12.865870897747
13194,SALAS 400,400,43.366346033985,-12.302067383822
6785,SOTO DE RIBERA 400,400,43.313578541797,-5.8878730517331
7170,CASTEJON 400,400,42.170707648614,-1.675792475773
7178,SERNA 400,400,42.09723287783,-1.6670924359263
7207,SANTA ENGRACIA 400,400,42.347560825749,-2.2634854547296
7226,BELINCHON 400,400,40.03414684189,-3.0797694822307
7230,VITORIA 400,400,42.883614343443,-2.6030418435136
13520,VILLANUEVA DEL REY 400,400,37.527578584636,-5.1642026162538
12583,BEGUES 400,400,41.355525850414,7.9024170701462
7373,SANTA MARIA DE GRADO 400,400,43.388504038404,-5.9952157878355
6917,ALDEADAVILA 400,400,41.207701625051,-12.67849814708
12726,DON RODRIGO 400,400,37.245467322017,-5.8436541669977
20677,BAZA 400,400,37.55904310693,-2.747342273717
13341,FUENTE DEL MAESTRE 400,400,38.533005458679,-12.453854845437
13021,OLMEDILLA 400,400,39.638018244407,-2.0846097057284
13313,PLATEA 400,400,40.444003352228,-1.1162084076134
13340,LLERENA 400,400,38.240004592795,-12.025969376078
13335,FUENTE DE CANTOS 400,400,38.247323714655,-12.297456903669
6672,ALCORES 220,220,37.386393756483,-5.8559410795546
6673,ALGECIRAS 220,220,36.183198710567,-5.3883097249159
6674,ALHAURIN 220,220,36.655972728618,-4.5754027163852
6675,ALJARAFE 220,220,37.344492083784,-12.094539206386
6676,ALMODOVAR DEL RIO 220,220,37.750799286373,-5.0202174743246
6677,ANDUJAR 220,220,38.043517814159,-3.9958307374844
6679,ATARFE 220,220,37.225246408505,-3.6972806168243
6682,BENAHADUX 220,220,36.908045353068,-2.4654367923142
7331,BERJA 220,220,36.834340444559,-2.9204953612487
6684,CAPARACENA 220,220,37.26786802166,-3.7261709619107
12592,CARMONA 220,220,37.55691840287,-5.7591094943323
7401,CARTAMA 220,220,36.750617868855,-4.605382532298
6686,CARTUJA 220,220,36.618295881987,-12.119791983107
6687,CASAQUEMADA 220,220,37.440374537913,-12.266255373254
12686,CENTENARIO 220,220,37.392030702476,-12.012514677568
12696,CHUCENA 220,220,37.342325931256,-12.38475463981
12717,COSTA DE LA LUZ 220,220,37.307022526712,-13.207600433192
12718,COSTASOL 220,220,36.522932767973,-4.8596192870204
12720,CRISTOBAL COLON 220,220,37.216900281909,-12.943391393303
12725,DON RODRIGO 220,220,37.245467322017,-5.8436541669977
12727,DOS HERMANAS 220,220,37.298542458486,-5.906006602997
12757,ENTRENUCLEOS 220,220,37.314522791312,-5.9448004701463
12767,FACINAS 220,220,36.145096283737,-5.717783953031
12770,FARGUE 220,220,37.196290234315,-3.5749492016883
12785,GABIAS 220,220,37.145501273194,-3.6706240072872
12797,GAZULES 220,220,36.496317910638,-5.7848126066059
12818,GUILLENA 220,220,37.636044840533,-12.098751304828
12842,ILLORA 220,220,37.240274261757,-3.8849938491705
12881,LANCHA 220,220,37.917510858544,-4.7097498482548
12919,LOS MONTES 220,220,36.745466825783,-4.3889151921186
12922,LOS RAMOS 220,220,36.729807263277,-4.4723600853853
12974,MIRABAL 220,220,36.697425094474,-12.065274024581
13014,NUEVA CASARES 220,220,36.40531938153,-5.2200472691673
13019,OLIVARES 220,220,37.799490326835,-3.8016699925366
13024,ONUBA 220,220,37.299527511829,-12.925034716278
13026,ORGIVA 220,220,36.89513514332,-3.4197545834481
13035,PALOS 220,220,37.184705561373,-12.882968276194
13071,POLIGONO 220,220,36.69442717356,-4.4660934687224
13081,PUEBLA DE GUZMAN 220,220,37.548222119769,-13.241236318391
13091,PUERTO DE LA CRUZ 220,220,36.07221984291,-5.6151198921531
13095,PUERTO DE SANTA MARIA 220,220,36.670434080855,-12.30073789819
13097,PUERTO REAL 220,220,36.517724605159,-12.155405508004
13104,QUINTOS 220,220,37.349502642917,-5.9523122190511
13178,ROCIO 220,220,37.144728322109,-12.493902390296
13195,SALERES 220,220,36.962475207891,-3.616397258806
13197,SALTERAS 220,220,37.481606340704,-12.069891623278
7329,SANTA ELVIRA 220,220,37.389960733451,-5.9306611037996
6726,SANTIPONCE 220,220,37.42560965711,-12.03981135682
6727,TABERNAS 220,220,37.070880564929,-2.3123478469677
6730,TORREARENILLAS 220,220,37.191164257444,-12.903029163904
6732,VILLANUEVA DEL REY 220,220,37.527578584636,-5.1642026162538
13414,TAJO ENCANTADA 220,220,36.895071576296,-4.7457559842002
13413,PINAR DE REY 220,220,36.248298540621,-5.4115462422769
13409,CAÑUELO 220,220,36.213727844687,-5.4526081889298
13411,GUADAME 220,220,38.048620837877,-4.1934112076732
6688,CASILLAS 220,220,37.857756011283,-4.8130649375748
12756,EL ZUMAJO 220,220,36.297780214169,-5.9893641649141
13408,LOS BARRIOS 220,220,36.18439435021,-5.4202919065035
6735,AVE ZARAGOZA 220,220,41.570281497744,-0.7893187944417
6736,BIESCAS 220,220,42.628397626166,-0.31568732072195
6737,CALAMOCHA 220,220,40.914535651623,-1.2864700494588
6738,CARTUJOS 220,220,41.589747920242,-0.84257407618086
12699,CINCA 220,220,41.923319735886,6.1935729071714
12758,ENTRERRIOS 220,220,41.748530291683,-1.186791988125
12761,ESCATRON 220,220,41.293900382882,-0.34067772471244
12763,ESCUCHA 220,220,40.796157282117,-0.81565280635106
12764,ESPARTAL 220,220,41.543151555258,-0.67918876583871
12766,ESQUEDAS 220,220,42.21539280209,-0.57162412738083
12780,FUENDETODOS 220,220,41.336870533914,-0.97686860653766
12802,GRADO 220,220,42.153360193778,6.2330630546475
12822,GURREA 220,220,42.037916930912,-0.77361401658415
12831,HIJAR 220,220,41.172714208044,-0.41875109387191
12848,JALON 220,220,41.697426799196,-1.2880891183002
12872,LA FORTUNADA 220,220,42.54255964103,6.1966850907841
12882,LANZAS AGUDAS 220,220,41.862616282593,-1.6929048352746
12918,LOS LEONES 220,220,41.691115581928,-0.87334083243869
12924,LOS VIENTOS 220,220,41.493348044236,-1.1381944190145
12934,MAGALLON 220,220,41.846865500616,-1.3812960767016
12948,MARIA 220,220,41.505181457929,-1.0137706091504
12957,MEDIANO 220,220,42.31302037459,6.2118834484812
12964,MEQUINENZA 220,220,41.368015068411,6.2774592418323
12971,MEZQUITA 220,220,40.723948109854,-0.84984879386729
12987,MONTETORRERO 220,220,41.596656629593,-0.85385416383957
12989,MONZON 220,220,41.933718880046,6.1756761150439
13047,PEÑAFLOR 220,220,41.721757863023,-0.74164679904411
13069,PLAZA 220,220,41.629940831644,-0.99750148979745
13187,SABIÑANIGO 220,220,42.51639539302,-0.35809749501731
6774,VALDECONEJOS 220,220,40.793404369791,-0.88169352992313
6775,VILLANUEVA DE GALLEGO 220,220,41.742661210756,-0.84675332910632
12759,ERISTE 220,220,42.58893097903,6.4919486565991
13370,MORALETS 220,220,42.569176851539,6.756713463258
6772,SESUE 220,220,42.54302148408,6.4702915766917
7076,ABONA 220,220,28.079109586248,-16.502214071242
