scope,scope_detail,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
NACIONAL,Nacional,almacenamiento,Con permisos,RdD,5942.0,8112.0
NACIONAL,Nacional,almacenamiento,Con permisos,RdT,4958.0,19253.0
NACIONAL,Nacional,almacenamiento,En curso,RdD,3359.22,3701.9
NACIONAL,Nacional,almacenamiento,En curso,RdT,10460.95,11462.66
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdD,12.15,80.04
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdT,,140.38
NACIONAL,Nacional,bombeo,Con permisos,RdD,,
NACIONAL,Nacional,bombeo,Con permisos,RdT,2797.0,2815.0
NACIONAL,Nacional,bombeo,En curso,RdD,,
NACIONAL,Nacional,bombeo,En curso,RdT,1160.0,1160.0
NACIONAL,Nacional,bombeo,Puesta en servicio,RdD,,
NACIONAL,Nacional,bombeo,Puesta en servicio,RdT,5377.85,5454.03
NACIONAL,Nacional,eolica,Con permisos,RdD,3882.0,4929.0
NACIONAL,Nacional,eolica,Con permisos,RdT,12593.0,18977.0
NACIONAL,Nacional,eolica,En curso,RdD,1772.49,1952.13
NACIONAL,Nacional,eolica,En curso,RdT,9941.68,10549.27
NACIONAL,Nacional,eolica,Puesta en servicio,RdD,8986.89,10199.95
NACIONAL,Nacional,eolica,Puesta en servicio,RdT,15066.19,22313.45
NACIONAL,Nacional,fotovoltaica,Con permisos,RdD,12898.0,16507.0
NACIONAL,Nacional,fotovoltaica,Con permisos,RdT,33675.0,52996.0
NACIONAL,Nacional,fotovoltaica,En curso,RdD,5320.79,5927.56
NACIONAL,Nacional,fotovoltaica,En curso,RdT,8394.81,11169.96
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdD,10142.5,12896.84
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdT,13760.6,30319.12
NACIONAL,Nacional,hibridacion,Con permisos,RdD,1392.0,
NACIONAL,Nacional,hibridacion,Con permisos,RdT,9993.0,
NACIONAL,Nacional,hibridacion,En curso,RdD,238.97,
NACIONAL,Nacional,hibridacion,En curso,RdT,2639.05,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdD,3028.73,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdT,21776.68,
NACIONAL,Nacional,hidraulica,Con permisos,RdD,47.0,101.0
NACIONAL,Nacional,hidraulica,Con permisos,RdT,191.0,495.0
NACIONAL,Nacional,hidraulica,En curso,RdD,,15.2
NACIONAL,Nacional,hidraulica,En curso,RdT,,
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdD,6023.85,6030.93
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdT,6402.18,6908.14
NACIONAL,Nacional,otras,Con permisos,RdD,530.0,780.0
NACIONAL,Nacional,otras,Con permisos,RdT,249.0,744.0
NACIONAL,Nacional,otras,En curso,RdD,55.18,79.39
NACIONAL,Nacional,otras,En curso,RdT,4570.06,6144.88
NACIONAL,Nacional,otras,Puesta en servicio,RdD,6244.28,6666.48
NACIONAL,Nacional,otras,Puesta en servicio,RdT,35351.69,39326.38
NACIONAL,Nacional,termosolar,Con permisos,RdD,50.0,81.0
NACIONAL,Nacional,termosolar,Con permisos,RdT,,
NACIONAL,Nacional,termosolar,Puesta en servicio,RdD,520.5,570.5
NACIONAL,Nacional,termosolar,Puesta en servicio,RdT,1246.8,1698.6
PENINSULAR,Peninsular,almacenamiento,Con permisos,RdD,4816.0,6743.0
PENINSULAR,Peninsular,almacenamiento,Con permisos,RdT,4542.0,18572.0
PENINSULAR,Peninsular,almacenamiento,En curso,RdD,3350.27,3692.95
PENINSULAR,Peninsular,almacenamiento,En curso,RdT,10344.95,11346.66
PENINSULAR,Peninsular,almacenamiento,Puesta en servicio,RdD,8.15,74.84
PENINSULAR,Peninsular,almacenamiento,Puesta en servicio,RdT,,135.3
PENINSULAR,Peninsular,bombeo,Con permisos,RdD,,
PENINSULAR,Peninsular,bombeo,Con permisos,RdT,2797.0,2815.0
PENINSULAR,Peninsular,bombeo,En curso,RdD,,
PENINSULAR,Peninsular,bombeo,En curso,RdT,1160.0,1160.0
PENINSULAR,Peninsular,bombeo,Puesta en servicio,RdD,,
PENINSULAR,Peninsular,bombeo,Puesta en servicio,RdT,5377.85,5454.03
PENINSULAR,Peninsular,eolica,Con permisos,RdD,3816.0,4827.0
PENINSULAR,Peninsular,eolica,Con permisos,RdT,12395.0,18754.0
PENINSULAR,Peninsular,eolica,En curso,RdD,1772.49,1952.13
PENINSULAR,Peninsular,eolica,En curso,RdT,9906.88,10514.42
PENINSULAR,Peninsular,eolica,Puesta en servicio,RdD,8849.13,10036.24
PENINSULAR,Peninsular,eolica,Puesta en servicio,RdT,14698.12,21830.23
PENINSULAR,Peninsular,fotovoltaica,Con permisos,RdD,12159.0,15460.0
PENINSULAR,Peninsular,fotovoltaica,Con permisos,RdT,33374.0,52482.0
PENINSULAR,Peninsular,fotovoltaica,En curso,RdD,5310.12,5916.89
PENINSULAR,Peninsular,fotovoltaica,En curso,RdT,8369.21,11139.96
