scope,scope_detail,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
NACIONAL,Nacional,almacenamiento,Con permisos,RdD,5959.0,8038.0
NACIONAL,Nacional,almacenamiento,Con permisos,RdT,4943.0,17969.0
NACIONAL,Nacional,almacenamiento,En curso,RdD,3246.35,3584.03
NACIONAL,Nacional,almacenamiento,En curso,RdT,11069.12,12207.05
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdD,12.15,80.04
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdT,,111.6
NACIONAL,Nacional,bombeo,Con permisos,RdD,,
NACIONAL,Nacional,bombeo,Con permisos,RdT,2797.0,2816.0
NACIONAL,Nacional,bombeo,En curso,RdD,,
NACIONAL,Nacional,bombeo,En curso,RdT,1285.0,1285.0
NACIONAL,Nacional,bombeo,Puesta en servicio,RdD,,
NACIONAL,Nacional,bombeo,Puesta en servicio,RdT,5377.85,5454.03
NACIONAL,Nacional,eolica,Con permisos,RdD,3901.0,4947.0
NACIONAL,Nacional,eolica,Con permisos,RdT,12884.0,18589.0
NACIONAL,Nacional,eolica,En curso,RdD,1801.44,1981.08
NACIONAL,Nacional,eolica,En curso,RdT,10315.91,11043.06
NACIONAL,Nacional,eolica,Puesta en servicio,RdD,8986.89,10199.95
NACIONAL,Nacional,eolica,Puesta en servicio,RdT,15066.19,22317.05
NACIONAL,Nacional,fotovoltaica,Con permisos,RdD,13079.0,16760.0
NACIONAL,Nacional,fotovoltaica,Con permisos,RdT,36454.0,55787.0
NACIONAL,Nacional,fotovoltaica,En curso,RdD,5318.11,5921.44
NACIONAL,Nacional,fotovoltaica,En curso,RdT,9148.91,12229.24
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdD,10111.78,12752.17
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdT,13921.17,29431.68
NACIONAL,Nacional,hibridacion,Con permisos,RdD,1436.0,
NACIONAL,Nacional,hibridacion,Con permisos,RdT,9508.0,
NACIONAL,Nacional,hibridacion,En curso,RdD,233.97,
NACIONAL,Nacional,hibridacion,En curso,RdT,2835.69,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdD,2932.55,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdT,21059.85,
NACIONAL,Nacional,hidraulica,Con permisos,RdD,47.0,101.0
NACIONAL,Nacional,hidraulica,Con permisos,RdT,191.0,495.0
