node_id,node_name,ccaa,provincia,municipio,voltage,lat,lng,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hibridacion,Con permisos,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hibridacion,Puesta en servicio,RdD,145.94,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hibridacion,Puesta en servicio,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hidraulica,Con permisos,RdD,2.0,2.0
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hidraulica,Con permisos,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hidraulica,Puesta en servicio,RdD,14.88,14.88
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,hidraulica,Puesta en servicio,RdT,,
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,otras,Puesta en servicio,RdD,35.72,35.72
13332.0,LITORAL 400,Andalucía,Almería,Carboneras,400.0,36.978302950275,-1.9080669729796,otras,Puesta en servicio,RdT,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,almacenamiento,Con permisos,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,almacenamiento,Con permisos,RdT,,39.0
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,almacenamiento,En curso,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,almacenamiento,En curso,RdT,,39.93
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,Con permisos,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,Con permisos,RdT,45.0,45.0
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,En curso,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,En curso,RdT,,0.07
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,Puesta en servicio,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,fotovoltaica,Puesta en servicio,RdT,110.44,214.98
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,hibridacion,Con permisos,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,hibridacion,Con permisos,RdT,90.0,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,hibridacion,En curso,RdD,,
6727.0,TABERNAS 220,Andalucía,Almería,Tabernas,220.0,37.07088044775,-2.3123478480257,hibridacion,En curso,RdT,40.0,
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,almacenamiento,Con permisos,RdD,,
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,almacenamiento,Con permisos,RdT,,20.0
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,fotovoltaica,Con permisos,RdD,,
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,fotovoltaica,Con permisos,RdT,431.0,501.0
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,fotovoltaica,Puesta en servicio,RdD,,
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,fotovoltaica,Puesta en servicio,RdT,339.54,395.22
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,hibridacion,Con permisos,RdD,,
6728.0,TABERNAS 400,Andalucía,Almería,Tabernas,400.0,37.07088044775,-2.3123478480257,hibridacion,Con permisos,RdT,44.0,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,almacenamiento,Con permisos,RdD,,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,almacenamiento,Con permisos,RdT,,166.0
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,eolica,Con permisos,RdD,,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,eolica,Con permisos,RdT,,22.0
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,eolica,Puesta en servicio,RdD,,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,eolica,Puesta en servicio,RdT,58.0,58.0
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,fotovoltaica,Puesta en servicio,RdD,,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,fotovoltaica,Puesta en servicio,RdT,60.14,327.21
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,hibridacion,Puesta en servicio,RdD,,
12797.0,GAZULES 220,Andalucía,Cádiz,Alcalá de los Gazules,220.0,36.496317739419,-5.7848126060516,hibridacion,Puesta en servicio,RdT,230.8,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,eolica,Con permisos,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,eolica,Con permisos,RdT,,68.0
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,eolica,Puesta en servicio,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,eolica,Puesta en servicio,RdT,209.66,326.96
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,Con permisos,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,Con permisos,RdT,,43.0
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,En curso,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,En curso,RdT,,204.63
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,Puesta en servicio,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,fotovoltaica,Puesta en servicio,RdT,427.78,584.25
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,hibridacion,En curso,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,hibridacion,En curso,RdT,389.2,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,hibridacion,Puesta en servicio,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,hibridacion,Puesta en servicio,RdT,598.72,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,otras,En curso,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,otras,En curso,RdT,373.0,762.53
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,otras,Puesta en servicio,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,otras,Puesta en servicio,RdT,1195.86,1585.39
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,termosolar,Puesta en servicio,RdD,,
6678.0,ARCOS DE LA FRONTERA 400,Andalucía,Cádiz,Arcos de la Frontera,400.0,36.671460378267,-5.8199388588463,termosolar,Puesta en servicio,RdT,100.0,100.0
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,almacenamiento,Con permisos,RdD,35.0,41.0
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,almacenamiento,Con permisos,RdT,,
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,fotovoltaica,Con permisos,RdD,9.0,10.0
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,fotovoltaica,Con permisos,RdT,,
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,fotovoltaica,Puesta en servicio,RdD,4.0,4.0
13408.0,LOS BARRIOS 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.184394206042,-5.4202919042893,fotovoltaica,Puesta en servicio,RdT,,
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,almacenamiento,Con permisos,RdD,39.0,39.0
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,almacenamiento,Con permisos,RdT,,
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,eolica,En curso,RdD,31.0,31.0
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,eolica,En curso,RdT,,
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,eolica,Puesta en servicio,RdD,,
